subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?
BMI_bf_101	 1	 34	 1	 1	 1	 3.469690e-02	 104.TIF	 u	 2.371968e+00	 22	 0
BMI_bf_101	 1	 22	 2	 1	 0	 3.468129e+00	 022.TIF	 i	 2.074335e+00	 40	 0
BMI_bf_101	 1	 27	 3	 1	 0	 6.584700e+00	 027.TIF	 i	 1.045623e+00	 46	 0
BMI_bf_101	 1	 67	 4	 0	 0	 8.684645e+00	 407.tif	 i	 1.265528e+00	 0	 0
BMI_bf_101	 1	 56	 5	 1	 1	 1.100123e+01	 126.TIF	 u	 1.084809e+00	 2	 0
BMI_bf_101	 1	 33	 6	 1	 0	 1.313449e+01	 103.TIF	 i	 1.319390e+00	 23	 0
BMI_bf_101	 1	 43	 7	 1	 1	 1.550110e+01	 113.TIF	 u	 7.686637e-01	 21	 1
BMI_bf_101	 1	 2	 8	 1	 1	 1.731764e+01	 002.tif	 u	 1.120003e+00	 49	 0
BMI_bf_101	 1	 39	 9	 1	 1	 1.948431e+01	 109.TIF	 u	 9.771756e-01	 6	 0
BMI_bf_101	 1	 13	 10	 1	 0	 2.150093e+01	 013.TIF	 i	 8.404385e-01	 35	 0
BMI_bf_101	 1	 3	 11	 1	 1	 2.338420e+01	 003.tif	 u	 9.730109e-01	 36	 1
BMI_bf_101	 1	 31	 12	 1	 1	 2.540079e+01	 101.tif	 u	 1.988253e+00	 3	 0
BMI_bf_101	 1	 41	 13	 1	 1	 2.843405e+01	 111.tif	 u	 6.748774e-01	 4	 0
BMI_bf_101	 1	 32	 14	 1	 0	 3.015065e+01	 102.tif	 i	 1.526106e+00	 7	 1
BMI_bf_101	 1	 42	 15	 1	 1	 3.271724e+01	 112.tif	 u	 9.273896e-01	 29	 0
BMI_bf_101	 1	 44	 16	 1	 1	 3.468386e+01	 114.tif	 u	 7.766194e-01	 24	 1
BMI_bf_101	 1	 73	 17	 0	 0	 3.650048e+01	 413.tif	 i	 7.198600e-01	 0	 0
BMI_bf_101	 1	 75	 18	 0	 0	 3.826709e+01	 415.tif	 i	 7.291954e-01	 0	 0
BMI_bf_101	 1	 61	 19	 0	 0	 4.005037e+01	 401.tif	 i	 5.857961e-01	 0	 0
BMI_bf_101	 1	 45	 20	 1	 1	 4.168365e+01	 115.TIF	 u	 6.484066e-01	 13	 1
BMI_bf_101	 1	 64	 21	 0	 0	 4.338354e+01	 404.tif	 i	 7.803950e-01	 0	 0
BMI_bf_101	 1	 54	 22	 1	 1	 4.521687e+01	 124.TIF	 u	 6.029607e-01	 1	 0
BMI_bf_101	 1	 15	 23	 1	 0	 4.686684e+01	 015.tif	 i	 8.968662e-01	 56	 0
BMI_bf_101	 1	 46	 24	 1	 1	 4.881679e+01	 116.TIF	 u	 5.948113e-01	 10	 1
BMI_bf_101	 1	 55	 25	 1	 1	 5.046673e+01	 125.tif	 u	 8.727336e-01	 33	 0
BMI_bf_101	 1	 49	 26	 1	 1	 5.238333e+01	 119.tif	 u	 6.360424e-01	 17	 0
BMI_bf_101	 1	 50	 27	 1	 1	 5.406639e+01	 120.TIF	 u	 6.568347e-01	 19	 0
