subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?
BMI_bf_102	 2	 80	 32	 0	 0	 6.026900e+01	 420.tif	 u	 7.301022e-01	 0	 0
BMI_bf_102	 2	 60	 33	 1	 1	 6.205219e+01	 130.TIF	 i	 1.162762e+00	 12	 0
BMI_bf_102	 2	 28	 34	 1	 1	 6.426878e+01	 028.TIF	 i	 8.660469e-01	 10	 0
BMI_bf_102	 2	 48	 35	 1	 1	 6.618547e+01	 118.TIF	 i	 7.412348e-01	 45	 0
BMI_bf_102	 2	 47	 36	 1	 1	 6.796867e+01	 117.tif	 i	 9.099162e-01	 31	 0
BMI_bf_102	 2	 78	 37	 0	 0	 6.991868e+01	 418.tif	 u	 6.957910e-01	 0	 0
BMI_bf_102	 2	 74	 38	 0	 0	 7.166864e+01	 414.tif	 u	 7.377158e-01	 0	 0
BMI_bf_102	 2	 20	 39	 1	 1	 7.345195e+01	 020.TIF	 i	 7.782841e-01	 2	 0
BMI_bf_102	 2	 66	 40	 0	 0	 7.528519e+01	 406.tif	 u	 7.449341e-01	 0	 0
BMI_bf_102	 2	 71	 41	 0	 0	 7.708508e+01	 411.tif	 u	 8.329112e-01	 0	 0
BMI_bf_102	 2	 69	 42	 0	 0	 7.896844e+01	 409.tif	 u	 7.734393e-01	 0	 0
BMI_bf_102	 2	 1	 43	 1	 1	 8.078504e+01	 001.tif	 i	 7.807228e-01	 44	 0
BMI_bf_102	 2	 35	 44	 1	 0	 8.261835e+01	 105.TIF	 u	 8.592781e-01	 55	 0
BMI_bf_102	 2	 24	 45	 1	 1	 8.451826e+01	 024.TIF	 i	 7.752508e-01	 7	 0
BMI_bf_102	 2	 8	 46	 1	 1	 8.633486e+01	 008.TIF	 i	 9.825199e-01	 57	 0
BMI_bf_102	 2	 11	 47	 1	 1	 8.836814e+01	 011.TIF	 i	 7.491120e-01	 4	 0
BMI_bf_102	 2	 25	 48	 1	 1	 9.016800e+01	 025.TIF	 i	 8.211271e-01	 53	 0
BMI_bf_102	 2	 18	 49	 1	 1	 9.203470e+01	 018.tif	 i	 9.063018e-01	 18	 0
BMI_bf_102	 2	 38	 50	 1	 1	 9.398463e+01	 108.TIF	 i	 7.642799e-01	 43	 1
BMI_bf_102	 2	 53	 51	 1	 1	 9.580130e+01	 123.TIF	 i	 8.434752e-01	 26	 1
BMI_bf_102	 2	 59	 52	 1	 1	 9.768424e+01	 129.TIF	 i	 7.763743e-01	 49	 1
BMI_bf_102	 2	 6	 53	 1	 1	 9.950100e+01	 006.TIF	 i	 6.795353e-01	 52	 0
BMI_bf_102	 2	 26	 54	 1	 1	 1.012344e+02	 026.TIF	 i	 7.540688e-01	 46	 1
BMI_bf_102	 2	 72	 55	 0	 0	 1.030344e+02	 412.tif	 u	 7.939280e-01	 0	 0
BMI_bf_102	 2	 62	 56	 0	 0	 1.048676e+02	 402.tif	 u	 9.045888e-01	 0	 0
